,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,TEXT_BLOCK,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.06870229007633588,0.22018348623853212,0.038461538461538464,0.0,0.0,0.16666666666666666,0.0,0.3131720430107527,0.24189526184538654,0.07407407407407407,0.0,0.018867924528301886,0.02,0.27564102564102566,0.21325051759834368,0.09722222222222222,0.18110236220472442,0.0,0.32653061224489793,0.24444444444444444,0.019230769230769232,0.18600953895071543,0.23095823095823095,0.26256983240223464,0.015625,0.2848527846754168,0.2507836990595611,0.0,0.0,0.0449438202247191,0.441617742987606,0.5714285714285714,0.0,0.0,0.0,0.45127272727272727,0.08823529411764706,0.1,0.15,0.018691588785046728,1.0,0.15328467153284672,0.0,0.5294117647058824,0.2107728337236534,0.14285714285714285,0.07272727272727272,0.07692307692307693,0.09859154929577464,0.018867924528301886,0.3464991023339318,0.0,0.3458856345885635,0.47428371496326244,0.23056994818652848,0.5833333333333334,0.8402555910543131,0.14814814814814814,0.06741573033707865,0.3275862068965517,0.05263157894736842,0.219070133963751,0.19795221843003413,0.03125,0.2061248527679623,0.28,0.26397919375812745,0.0,0.29403973509933773,0.0,0.04854368932038835,0.0,0.4126984126984127,0.0,0.0,0.27577937649880097,0.0,0.09090909090909091,0.22423146473779385,0.01098901098901099,0.028846153846153848,0.0,0.03389830508474576,0.017241379310344827,0.9807692307692307,0.0,0.19922630560928434,0.1724137931034483,0.0,0.21060240963855423,0.22477064220183487,0.2732824427480916,0.22847682119205298,0.09734513274336283,0.0,0.1906158357771261,0.27438159274566654,0.0,0.0,0.24983541803818302,0.15714285714285714,0.2728512960436562,0.0,0.26997840172786175,0.11290322580645161,0.0,0.14285714285714285,0.03125,0.0784313725490196,0.0,0.2129032258064516,0.11842105263157894,0.30158730158730157,0.0,0.017857142857142856,0.0,0.0,0.19642857142857142,0.0,0.0,0.016129032258064516,0.17611683848797252,0.0,0.07692307692307693,0.010309278350515464,0.0,0.0,0.3642986696617617,0.15169954136119665,0.350765322087897
recall,0.3333333333333333,0.183206106870229,0.1,0.0,0.0,0.01694915254237288,0.0,0.1296605453533667,0.0947265625,0.11538461538461539,0.0,0.037037037037037035,0.1111111111111111,0.09347826086956522,0.3249211356466877,0.029914529914529916,0.152317880794702,0.0,0.031683168316831684,0.171875,0.05,0.5571428571428572,0.42342342342342343,0.09771309771309772,0.058823529411764705,0.06193120468918711,0.1322314049586777,0.0,0.0,0.5714285714285714,0.8620909206672609,0.12121212121212122,0.0,0.0,0.0,0.32632132526952407,0.15,0.037037037037037035,0.030303030303030304,0.4,0.05263157894736842,0.12574850299401197,0.0,0.3237410071942446,0.2073732718894009,0.11764705882352941,0.04878048780487805,0.2727272727272727,0.17073170731707318,0.06666666666666667,0.16083333333333333,0.0,0.544456641053787,0.6079936210505332,0.20794392523364486,0.4,0.7325905292479109,0.40404040404040403,0.17142857142857143,0.12089077412513255,0.75,0.08023088023088024,0.1411192214111922,0.18181818181818182,0.3038194444444444,0.13592233009708737,0.09538577201390847,0.0,0.19220779220779222,0.0,0.625,0.0,0.2810810810810811,0.0,0.0,0.1936026936026936,0.0,0.09,0.3563218390804598,0.5,0.75,0.0,0.09090909090909091,0.16666666666666666,0.8095238095238095,0.0,0.2821917808219178,0.29850746268656714,0.0,0.2915276851234156,0.23902439024390243,0.1694540864626065,0.16911764705882354,0.3548387096774194,0.0,0.06487025948103792,0.39328028293545536,0.0,0.0,0.10101144530210274,0.2037037037037037,0.32786885245901637,0.0,0.32266391326794014,0.10218978102189781,0.0,0.2441860465116279,0.1111111111111111,0.2857142857142857,0.0,0.15034168564920272,0.13043478260869565,0.09768637532133675,0.0,0.25,0.0,0.0,0.1506849315068493,0.0,0.0,0.4,0.37683823529411764,0.0,0.2857142857142857,0.5,0.0,0.0,0.3642986696617617,0.17785868393364807,0.3642986696617617
f1-score,0.1139240506329114,0.20000000000000004,0.05555555555555555,0.0,0.0,0.030769230769230767,0.0,0.183392365210547,0.13614035087719295,0.09022556390977444,0.0,0.025,0.03389830508474577,0.1396103896103896,0.2575,0.04575163398692811,0.1654676258992806,0.0,0.05776173285198557,0.20183486238532108,0.027777777777777776,0.2789034564958284,0.29888712241653415,0.14242424242424243,0.024691358024691357,0.10174216027874564,0.17316017316017315,0.0,0.0,0.08333333333333333,0.58404865634301,0.2,0.0,0.0,0.0,0.3787578208454143,0.11111111111111112,0.05405405405405406,0.05042016806722689,0.03571428571428571,0.1,0.1381578947368421,0.0,0.4017857142857143,0.20905923344947736,0.12903225806451615,0.058394160583941604,0.12000000000000001,0.125,0.029411764705882353,0.2196926579396699,0.0,0.42302771855010657,0.5328790757605538,0.21867321867321865,0.4745762711864407,0.7827380952380952,0.21680216802168023,0.0967741935483871,0.17660728117738186,0.09836065573770492,0.11744824672581326,0.16477272727272727,0.05333333333333334,0.24561403508771928,0.18300653594771243,0.14013530305122188,0.0,0.23246073298429318,0.0,0.0900900900900901,0.0,0.3344051446945338,0.0,0.0,0.2274975272007913,0.0,0.09045226130653267,0.27524972253052166,0.021505376344086023,0.05555555555555555,0.0,0.04938271604938272,0.03125,0.8869565217391304,0.0,0.23356009070294786,0.2185792349726776,0.0,0.24454392837157246,0.23167848699763596,0.20919361121932217,0.19436619718309858,0.1527777777777778,0.0,0.0967982129560685,0.32324406816612766,0.0,0.0,0.14385898407884762,0.17741935483870966,0.29784065524944153,0.0,0.2939793038570085,0.10727969348659004,0.0,0.18025751072961374,0.04878048780487805,0.12307692307692307,0.0,0.17623497997329776,0.12413793103448274,0.14757281553398055,0.0,0.03333333333333333,0.0,0.0,0.1705426356589147,0.0,0.0,0.031007751937984496,0.24004683840749413,0.0,0.12121212121212123,0.020202020202020204,0.0,0.0,0.3642986696617617,0.12892496478075763,0.3317215344810472
support,27.0,262.0,20.0,42.0,1.0,59.0,0.0,1797.0,1024.0,52.0,0.0,27.0,9.0,460.0,317.0,234.0,151.0,1.0,505.0,64.0,20.0,210.0,222.0,481.0,17.0,12966.0,605.0,0.0,7.0,7.0,7853.0,33.0,12.0,0.0,1.0,7606.0,40.0,27.0,99.0,5.0,19.0,167.0,0.0,139.0,434.0,17.0,82.0,55.0,82.0,15.0,1200.0,0.0,911.0,40132.0,428.0,35.0,718.0,99.0,35.0,943.0,8.0,3465.0,411.0,11.0,576.0,206.0,10641.0,0.0,1155.0,5.0,8.0,0.0,185.0,2.0,0.0,594.0,0.0,100.0,348.0,2.0,4.0,0.0,22.0,6.0,126.0,0.0,730.0,201.0,0.0,2998.0,205.0,3169.0,408.0,31.0,0.0,1002.0,11310.0,2.0,1.0,7514.0,54.0,610.0,0.0,1937.0,137.0,0.0,86.0,18.0,56.0,0.0,439.0,69.0,389.0,0.0,8.0,4.0,0.0,73.0,0.0,1.0,5.0,1632.0,1.0,28.0,2.0,2.0,0.0,0.3642986696617617,131771.0,131771.0
