,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,TEXT_BLOCK,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.13013698630136986,0.3,0.0,0.14285714285714285,0.015625,0.2857142857142857,0.0,0.3299620733249052,0.351288056206089,0.08411214953271028,0.0,0.0,0.018867924528301886,0.3235294117647059,0.25326797385620914,0.06862745098039216,0.1826086956521739,0.023255813953488372,0.21428571428571427,0.2692307692307692,0.016129032258064516,0.2990936555891239,0.254278728606357,0.35546875,0.013513513513513514,0.35044064282011406,0.25092250922509224,0.0684931506849315,0.03669724770642202,0.27906976744186046,0.5,0.015384615384615385,0.0,0.0,0.474822695035461,0.07042253521126761,0.0,0.16,0.010309278350515464,0.0,0.20863309352517986,0.0,0.4406779661016949,0.358974358974359,0.4117647058823529,0.14516129032258066,0.15151515151515152,0.20754716981132076,0.07692307692307693,0.37481698389458273,0.0,0.19196428571428573,0.5068493150684932,0.2423469387755102,0.5,0.889261744966443,0.2525597269624573,0.09302325581395349,0.39018087855297157,0.059322033898305086,0.26118500604594924,0.2733333333333333,0.0,0.20958570268074736,0.2764227642276423,0.30698198198198196,0.0,0.3252720677146312,0.0,0.024793388429752067,0.0,0.43795620437956206,0.0,0.0,0.29148936170212764,0.0,0.1717171717171717,0.2586490939044481,0.0,0.0196078431372549,0.0,0.030303030303030304,0.0,0.9902912621359223,0.0,0.20971147079521463,0.19,0.0,0.2412635735439289,0.20967741935483872,0.32326530612244897,0.3053435114503817,0.08411214953271028,0.0,0.29596412556053814,0.32006616354802025,0.0,0.0,0.3001025115325474,0.10606060606060606,0.26044226044226043,0.0,0.31130063965884863,0.14893617021276595,0.0,0.21052631578947367,0.014705882352941176,0.08653846153846154,0.0,0.2733333333333333,0.04285714285714286,0.21014492753623187,0.0,0.0,0.023809523809523808,0.0,0.09473684210526316,0.0,0.0,0.0,0.20563562056356205,0.0,0.01904761904761905,0.0,0.0,0.0,0.3824099186361875,0.15885005821555978,0.3823027598247623
recall,0.4523809523809524,0.2088607594936709,0.0,0.02631578947368421,1.0,0.03076923076923077,0.0,0.13248730964467004,0.13416815742397137,0.140625,0.0,0.0,0.3333333333333333,0.09482758620689655,0.40897097625329815,0.019553072625698324,0.17073170731707318,1.0,0.007075471698113208,0.15384615384615385,0.041666666666666664,0.6111111111111112,0.3727598566308244,0.14942528735632185,0.045454545454545456,0.1833220338983051,0.10542635658914729,0.4166666666666667,0.3333333333333333,0.47045454545454546,0.030303030303030304,0.125,0.0,0.0,0.35970449966420415,0.12195121951219512,0.0,0.0380952380952381,0.2,0.0,0.14285714285714285,0.0,0.1780821917808219,0.2443280977312391,0.19444444444444445,0.0967741935483871,0.44642857142857145,0.2682926829268293,0.15384615384615385,0.18795888399412627,0.0,0.5633187772925764,0.62609084330169,0.19387755102040816,0.40625,0.7817109144542773,0.6016260162601627,0.16666666666666666,0.11606456571867795,0.4375,0.11131151765009019,0.17558886509635974,0.0,0.3329032258064516,0.12781954887218044,0.10852774902460387,0.0,0.19338605319913732,0.0,0.42857142857142855,0.0,0.33519553072625696,0.0,0.0,0.2202572347266881,0.0,0.1574074074074074,0.4175531914893617,0.0,0.5,0.0,0.06451612903225806,0.0,0.9357798165137615,0.0,0.29073170731707315,0.3275862068965517,0.0,0.3118938233792751,0.21052631578947367,0.2113127001067236,0.23121387283236994,0.36,0.0,0.14457831325301204,0.4532611082644023,0.0,0.0,0.14718451483157366,0.2692307692307692,0.42655935613682094,0.0,0.3897490656700481,0.07984790874524715,0.0,0.42857142857142855,0.05263157894736842,0.3673469387755102,0.0,0.1722689075630252,0.05084745762711865,0.11507936507936507,0.0,0.0,0.4,0.0,0.08737864077669903,0.0,0.0,0.0,0.4351388256713701,0.0,0.08695652173913043,0.0,0.0,0.0,0.3824099186361875,0.18955119534758252,0.3824099186361875
f1-score,0.20212765957446807,0.2462686567164179,0.0,0.044444444444444446,0.03076923076923077,0.05555555555555556,0.0,0.18906193408185437,0.1941747572815534,0.10526315789473684,0.0,0.0,0.03571428571428571,0.14666666666666667,0.3128153380423814,0.03043478260869565,0.17647058823529413,0.04545454545454545,0.013698630136986302,0.19580419580419584,0.023255813953488372,0.40162271805273836,0.3023255813953489,0.21040462427745665,0.020833333333333336,0.24071930917831388,0.148471615720524,0.1176470588235294,0.06611570247933884,0.3503279035328961,0.05714285714285715,0.027397260273972605,0.0,0.0,0.40932365303782964,0.08928571428571427,0.0,0.06153846153846155,0.0196078431372549,0.0,0.16959064327485382,0.0,0.25365853658536586,0.2907580477673936,0.2641509433962264,0.11612903225806452,0.2262443438914027,0.23404255319148937,0.10256410256410257,0.25036674816625915,0.0,0.2863485016648169,0.5601950160450213,0.21541950113378686,0.4482758620689655,0.8320251177394036,0.3557692307692308,0.11940298507462685,0.1789099526066351,0.1044776119402985,0.15609756097560976,0.21382007822685786,0.0,0.2572283150548355,0.1748071979434447,0.16036237425730926,0.0,0.242560865644725,0.0,0.04687500000000001,0.0,0.379746835443038,0.0,0.0,0.2509157509157509,0.0,0.1642512077294686,0.31943031536113936,0.0,0.03773584905660377,0.0,0.041237113402061855,0.0,0.9622641509433962,0.0,0.2436631234668847,0.24050632911392403,0.0,0.27206946454413894,0.2101010101010101,0.255566311713456,0.26315789473684215,0.13636363636363635,0.0,0.19426048565121415,0.37519314084891087,0.0,0.0,0.1975037949063923,0.15217391304347827,0.32341723874904654,0.0,0.34613560929350407,0.10396039603960396,0.0,0.2823529411764706,0.022988505747126436,0.14007782101167315,0.0,0.21134020618556698,0.04651162790697675,0.14871794871794872,0.0,0.0,0.0449438202247191,0.0,0.09090909090909091,0.0,0.0,0.0,0.2792871749926965,0.0,0.03125000000000001,0.0,0.0,0.0,0.3824099186361875,0.13967346594984814,0.3636954279941306
support,42.0,316.0,17.0,38.0,1.0,65.0,0.0,1970.0,1118.0,64.0,0.0,20.0,3.0,580.0,379.0,358.0,123.0,1.0,848.0,91.0,24.0,324.0,279.0,609.0,22.0,7375.0,645.0,12.0,12.0,1760.0,66.0,8.0,1.0,1.0,7445.0,41.0,27.0,105.0,5.0,19.0,203.0,0.0,146.0,573.0,36.0,93.0,56.0,123.0,26.0,1362.0,0.0,458.0,46982.0,490.0,32.0,678.0,123.0,48.0,1301.0,16.0,3881.0,467.0,14.0,775.0,266.0,12559.0,0.0,1391.0,4.0,7.0,0.0,179.0,0.0,0.0,622.0,0.0,108.0,376.0,0.0,4.0,0.0,31.0,3.0,109.0,1.0,1025.0,232.0,0.0,3918.0,247.0,3748.0,519.0,25.0,0.0,913.0,13661.0,1.0,0.0,7956.0,26.0,497.0,0.0,1873.0,263.0,0.0,84.0,19.0,49.0,0.0,476.0,59.0,504.0,0.0,1.0,5.0,0.0,103.0,1.0,0.0,4.0,2197.0,5.0,23.0,1.0,0.0,1.0,0.3824099186361875,136793.0,136793.0
