,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.115,0.04477611940298507,0.044642857142857144,0.0,0.09202453987730061,0.0,0.10988037217545414,0.07700534759358289,0.05263157894736842,0.0,0.011111111111111112,0.0,0.1443478260869565,0.08767772511848342,0.031791907514450865,0.07661290322580645,0.0,0.1833489242282507,0.12396694214876033,0.09090909090909091,0.0,0.09134615384615384,0.12668463611859837,0.06896551724137931,0.25279674560511406,0.0673076923076923,0.0,0.0,0.023255813953488372,0.21171171171171171,0.0962962962962963,0.023809523809523808,0.0,0.0,0.11374653739612188,0.057692307692307696,0.07042253521126761,0.15217391304347827,0.0,0.0,0.09326424870466321,0.0,0.0425531914893617,0.11888111888111888,0.09210526315789473,0.19117647058823528,0.11235955056179775,0.09740259740259741,0.0,0.0,0.1306715063520871,0.0,0.1571753986332574,0.3920052752450033,0.09897610921501707,0.01639344262295082,0.026687598116169546,0.11206896551724138,0.06329113924050633,0.20633750921149593,0.0,0.12326530612244897,0.11138613861386139,0.01818181818181818,0.15763546798029557,0.12857142857142856,0.1491031390134529,0.0,0.1366303436714166,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.06772908366533864,0.0,0.07751937984496124,0.11777777777777777,0.0,0.02564102564102564,0.0,0.06493506493506493,0.0,0.04477611940298507,0.0,0.11935953420669577,0.07874015748031496,0.0,0.11484098939929328,0.10431654676258993,0.12421052631578948,0.1065989847715736,0.0,0.0,0.07248858447488585,0.20915315315315317,0.0,0.0,0.14992904249102595,0.029411764705882353,0.058394160583941604,0.0,0.11630252100840337,0.13768115942028986,0.0,0.05970149253731343,0.03225806451612903,0.024,0.03592814371257485,0.016260162601626018,0.07967032967032966,0.0,0.02,0.0,0.0,0.06707317073170732,0.0,0.0,0.01694915254237288,0.16260869565217392,0.0,0.11538461538461539,0.05263157894736842,0.0,0.0,0.22601302698237483,0.06416458321038065,0.2334175205339095
recall,0.0,0.14556962025316456,0.17647058823529413,0.13157894736842105,0.0,0.23076923076923078,0.0,0.12588832487309645,0.06440071556350627,0.09375,0.0,0.05,0.0,0.14310344827586208,0.09762532981530343,0.030726256983240222,0.15447154471544716,0.0,0.23113207547169812,0.16483516483516483,0.3333333333333333,0.0,0.06810035842293907,0.15435139573070608,0.18181818181818182,0.2359322033898305,0.06511627906976744,0.0,0.0,0.08333333333333333,0.24034090909090908,0.19696969696969696,0.125,0.0,0.0,0.08824714573539288,0.14634146341463414,0.18518518518518517,0.26666666666666666,0.0,0.0,0.08866995073891626,0.0,0.0410958904109589,0.059336823734729496,0.19444444444444445,0.27956989247311825,0.17857142857142858,0.12195121951219512,0.0,0.0,0.10572687224669604,0.0,0.15065502183406113,0.366949044314844,0.11836734693877551,0.03125,0.025073746312684365,0.10569105691056911,0.10416666666666667,0.21521906225980014,0.0,0.1556299922700335,0.09635974304068523,0.07142857142857142,0.16516129032258065,0.16917293233082706,0.12708018154311648,0.0,0.11718188353702372,0.0,0.0,0.0,0.4022346368715084,0.0,0.0,0.0819935691318328,0.0,0.09259259259259259,0.14095744680851063,0.0,0.25,0.0,0.16129032258064516,0.0,0.027522935779816515,0.0,0.08,0.08620689655172414,0.0,0.06636038795303727,0.11740890688259109,0.12593383137673425,0.08092485549132948,0.0,0.0,0.13910186199342825,0.21242954395725056,0.0,0.0,0.22574157868275516,0.07692307692307693,0.0482897384305835,0.0,0.1847303790710091,0.07224334600760456,0.0,0.09523809523809523,0.10526315789473684,0.061224489795918366,0.05042016806722689,0.03389830508474576,0.057539682539682536,0.0,1.0,0.0,0.0,0.10679611650485436,0.0,0.0,0.25,0.08511606736458807,0.0,0.391304347826087,1.0,0.0,0.0,0.22601302698237483,0.10401178581547006,0.22601302698237483
f1-score,0.0,0.12849162011173187,0.07142857142857144,0.06666666666666667,0.0,0.13157894736842107,0.0,0.11734090371421814,0.07014125669751585,0.06741573033707865,0.0,0.01818181818181818,0.0,0.14372294372294372,0.09238451935081149,0.03125,0.10242587601078168,0.0,0.20448617631716223,0.14150943396226415,0.14285714285714288,0.0,0.07802874743326489,0.13915618060695778,0.1,0.24407350259503435,0.06619385342789597,0.0,0.0,0.03636363636363636,0.22511974454497075,0.12935323383084577,0.04,0.0,0.0,0.09938733832539141,0.08275862068965519,0.1020408163265306,0.19377162629757788,0.0,0.0,0.0909090909090909,0.0,0.04181184668989547,0.07916181606519208,0.125,0.22707423580786024,0.13793103448275865,0.10830324909747292,0.0,0.0,0.11688311688311688,0.0,0.15384615384615383,0.37906355471026043,0.10780669144981414,0.02150537634408602,0.025855513307984794,0.10878661087866108,0.07874015748031496,0.21068472535741156,0.0,0.1375697528755267,0.10332950631458096,0.028985507246376805,0.1613106490233144,0.14610389610389607,0.13721360099729185,0.0,0.1261609907120743,0.0,0.0,0.0,0.29149797570850206,0.0,0.0,0.07418181818181817,0.0,0.08438818565400844,0.12832929782082325,0.0,0.04651162790697674,0.0,0.09259259259259259,0.0,0.034090909090909095,0.0,0.0957943925233645,0.08230452674897121,0.0,0.08411517308314462,0.11047619047619046,0.12506624271330152,0.09200438116100768,0.0,0.0,0.09530956848030019,0.21077861708309123,0.0,0.0,0.1801856032104339,0.0425531914893617,0.05286343612334802,0.0,0.14273927392739275,0.09476309226932668,0.0,0.07339449541284404,0.04938271604938271,0.03448275862068965,0.04195804195804196,0.02197802197802198,0.06682027649769585,0.0,0.0392156862745098,0.0,0.0,0.08239700374531835,0.0,0.0,0.031746031746031744,0.11174185838063938,0.0,0.17821782178217824,0.1,0.0,0.0,0.22601302698237483,0.07017359679088381,0.227936989450099
support,42.0,316.0,17.0,38.0,1.0,65.0,0.0,1970.0,1118.0,64.0,0.0,20.0,3.0,580.0,379.0,358.0,123.0,1.0,848.0,91.0,24.0,324.0,279.0,609.0,22.0,7375.0,645.0,0.0,12.0,12.0,1760.0,66.0,8.0,1.0,1.0,7445.0,41.0,27.0,105.0,5.0,19.0,203.0,0.0,146.0,573.0,36.0,93.0,56.0,123.0,26.0,0.0,1362.0,0.0,458.0,46982.0,490.0,32.0,678.0,123.0,48.0,1301.0,16.0,3881.0,467.0,14.0,775.0,266.0,12559.0,0.0,1391.0,4.0,7.0,0.0,179.0,0.0,0.0,622.0,0.0,108.0,376.0,0.0,4.0,0.0,31.0,3.0,109.0,1.0,1025.0,232.0,0.0,3918.0,247.0,3748.0,519.0,25.0,0.0,913.0,13661.0,1.0,0.0,7956.0,26.0,497.0,0.0,1873.0,263.0,0.0,84.0,19.0,49.0,476.0,59.0,504.0,0.0,1.0,5.0,0.0,103.0,1.0,0.0,4.0,2197.0,5.0,23.0,1.0,0.0,1.0,0.22601302698237483,136793.0,136793.0
