,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.1038961038961039,0.0,0.0,0.0,0.0,0.0,0.0380952380952381,0.05466970387243736,0.0,0.0,0.0,0.2,0.007751937984496124,0.10919540229885058,0.06164383561643835,0.05660377358490566,0.08333333333333333,0.04225352112676056,0.0,0.0,0.0,0.19090909090909092,0.06060606060606061,0.0,0.1713796058269066,0.014285714285714285,0.0,0.058823529411764705,0.0,0.4166431990988454,0.0,0.0,0.0,0.0,0.05654655726007849,0.15,0.0,0.05,0.0,0.0,0.07352941176470588,0.0,0.023255813953488372,0.05263157894736842,0.0,0.1111111111111111,0.0,0.01639344262295082,0.0,0.0,0.09024390243902439,0.0,0.06626506024096386,0.36502986065029863,0.03292181069958848,0.0,0.010676156583629894,0.08108108108108109,0.00015360983102918587,0.07172995780590717,0.0,0.1125703564727955,0.04326923076923077,0.0,0.11081081081081082,0.045454545454545456,0.09592940506689439,0.0,0.10028653295128939,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.019748653500897665,0.0,0.016666666666666666,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.06389776357827476,0.04411764705882353,0.0,0.1422976501305483,0.10204081632653061,0.16679245283018868,0.028901734104046242,0.0,0.0,0.019342359767891684,0.16831941544885176,0.0,0.0,0.06611744824672582,0.0,0.0962566844919786,0.0,0.10227272727272728,0.06382978723404255,0.0,0.0,0.0,0.10526315789473684,0.05343511450381679,0.013888888888888888,0.021660649819494584,0.0,0.125,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.15702479338842976,0.0,0.047619047619047616,0.0,0.0,0.0,0.18033752587167648,0.04176462186010332,0.21344167511396425
recall,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.04783258594917788,0.04203152364273205,0.0,0.0,0.0,1.0,0.023255813953488372,0.12337662337662338,0.02616279069767442,0.06521739130434782,0.5,0.004457652303120356,0.0,0.0,0.0,0.1390728476821192,0.03814713896457766,0.0,0.020383204239706482,0.02608695652173913,0.0,0.3333333333333333,0.0,0.49572792762606804,0.0,0.0,0.0,0.0,0.1381263616557734,0.21428571428571427,0.0,0.018867924528301886,0.0,0.0,0.0847457627118644,0.0,0.024793388429752067,0.05442176870748299,0.0,0.09375,0.0,0.045454545454545456,0.0,0.0,0.06514084507042253,0.0,0.05851063829787234,0.32094515752625435,0.05194805194805195,0.0,0.022222222222222223,0.09090909090909091,0.08333333333333333,0.05214723926380368,0.0,0.15319148936170213,0.0703125,0.0,0.09192825112107623,0.027522935779816515,0.08251714005876591,0.0,0.05982905982905983,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.05392156862745098,0.0,0.027777777777777776,0.06015037593984962,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.05434782608695652,0.02459016393442623,0.0,0.07041343669250646,0.033783783783783786,0.16202346041055718,0.032467532467532464,0.0,0.0,0.04032258064516129,0.12358689404100402,0.0,0.0,0.09778194314276789,0.0,0.06498194945848375,0.0,0.11894273127753303,0.15,0.0,0.0,0.0,0.046511627906976744,0.08433734939759036,0.06666666666666667,0.025210084033613446,0.0,0.14285714285714285,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.016550522648083623,0.0,0.14285714285714285,0.0,0.0,0.0,0.18033752587167648,0.05306097525561803,0.18033752587167648
f1-score,0.0,0.10062893081761007,0.0,0.0,0.0,0.0,0.0,0.04241219350563287,0.047524752475247525,0.0,0.0,0.0,0.33333333333333337,0.011627906976744186,0.11585365853658536,0.03673469387755102,0.0606060606060606,0.14285714285714285,0.008064516129032258,0.0,0.0,0.0,0.16091954022988506,0.046822742474916385,0.0,0.036433190636670006,0.01846153846153846,0.0,0.1,0.0,0.45275801392395376,0.0,0.0,0.0,0.0,0.08024300721427668,0.1764705882352941,0.0,0.027397260273972605,0.0,0.0,0.07874015748031495,0.0,0.024,0.05351170568561872,0.0,0.10169491525423728,0.0,0.024096385542168676,0.0,0.0,0.07566462167689161,0.0,0.062146892655367235,0.3415709407016455,0.04030226700251889,0.0,0.014423076923076926,0.08571428571428572,0.00030665440049064706,0.06039076376554174,0.0,0.12977649603460706,0.053571428571428575,0.0,0.10049019607843138,0.03428571428571429,0.08871923127550349,0.0,0.07494646680942184,0.0,0.0,0.0,0.007920792079207921,0.0,0.0,0.02890932982917214,0.0,0.020833333333333336,0.05423728813559322,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.05873715124816447,0.03157894736842105,0.0,0.09420916162489197,0.05076142131979696,0.16437337300111565,0.030581039755351678,0.0,0.0,0.026143790849673203,0.14252568776930724,0.0,0.0,0.07889098928796472,0.0,0.07758620689655173,0.0,0.109979633401222,0.08955223880597013,0.0,0.0,0.0,0.06451612903225806,0.06542056074766354,0.022988505747126436,0.023300970873786412,0.0,0.13333333333333333,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.029944838455476755,0.0,0.07142857142857142,0.0,0.0,0.0,0.18033752587167648,0.04008232554703748,0.18384470145577922
support,34.0,82.0,2.0,10.0,0.0,29.0,1.0,669.0,571.0,16.0,0.0,13.0,2.0,258.0,154.0,344.0,46.0,2.0,673.0,26.0,4.0,66.0,151.0,367.0,8.0,9812.0,115.0,0.0,3.0,2.0,5969.0,43.0,9.0,0.0,0.0,2295.0,14.0,10.0,53.0,1.0,5.0,59.0,0.0,121.0,147.0,19.0,32.0,11.0,22.0,5.0,0.0,568.0,0.0,188.0,17140.0,154.0,6.0,135.0,33.0,12.0,326.0,3.0,1175.0,128.0,3.0,446.0,109.0,4084.0,2.0,585.0,1.0,6.0,0.0,45.0,0.0,0.0,204.0,0.0,36.0,133.0,0.0,5.0,0.0,6.0,3.0,16.0,0.0,368.0,122.0,0.0,1548.0,148.0,1364.0,154.0,11.0,0.0,248.0,5219.0,0.0,0.0,3201.0,7.0,277.0,0.0,681.0,20.0,1.0,32.0,9.0,43.0,83.0,15.0,238.0,1.0,7.0,0.0,0.0,24.0,0.0,0.0,7.0,1148.0,0.0,7.0,0.0,0.0,0.0,0.18033752587167648,62810.0,62810.0
