,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.1553784860557769,0.05660377358490566,0.058823529411764705,0.0,0.10256410256410256,0.0,0.10932475884244373,0.07640449438202247,0.04040404040404041,0.0,0.011111111111111112,0.0,0.11168831168831168,0.09137055837563451,0.09937888198757763,0.10759493670886076,0.0,0.2014218009478673,0.05042016806722689,0.0,0.0,0.095,0.11643835616438356,0.07317073170731707,0.3694591094730551,0.04021937842778794,0.0,0.0,0.025,0.4354155911202891,0.03571428571428571,0.02040816326530612,0.0,0.0,0.11697599182700494,0.052083333333333336,0.025974025974025976,0.1232876712328767,0.0,0.0,0.10362694300518134,0.0,0.06766917293233082,0.11356466876971609,0.05,0.08620689655172414,0.09090909090909091,0.03508771929824561,0.0,0.0,0.13449691991786447,0.0,0.3198992443324937,0.3852146901147352,0.06333973128598848,0.031746031746031744,0.031180400890868598,0.08411214953271028,0.0641025641025641,0.1353305785123967,0.023809523809523808,0.11189338697510687,0.10526315789473684,0.03076923076923077,0.11394302848575712,0.11627906976744186,0.14658314350797266,0.0,0.13551401869158877,0.0,0.0,0.0,0.19584569732937684,0.0,0.0,0.09453471196454949,0.0,0.05223880597014925,0.11576354679802955,0.0,0.03125,0.0,0.014084507042253521,0.0,0.2,0.0,0.11163522012578617,0.10824742268041238,0.0,0.11287128712871287,0.1277533039647577,0.1142767689417658,0.10220994475138122,0.0425531914893617,0.0,0.06594153636981645,0.18980219780219781,0.0,0.0,0.14251606978879705,0.10810810810810811,0.07125890736342043,0.0,0.11738957421408674,0.0859375,0.0,0.07207207207207207,0.023255813953488372,0.06504065040650407,0.0632688927943761,0.04065040650406504,0.0811965811965812,0.0,0.05263157894736842,0.0,0.0,0.09848484848484848,0.0,0.0,0.0,0.1638709677419355,0.0,0.016129032258064516,0.0,0.0,0.0,0.24780869842378064,0.06506296142021166,0.2516313349444836
recall,0.0,0.14885496183206107,0.15,0.11904761904761904,0.0,0.2033898305084746,0.0,0.11352253756260434,0.06640625,0.07692307692307693,0.0,0.037037037037037035,0.0,0.09347826086956522,0.11356466876971609,0.06837606837606838,0.11258278145695365,0.0,0.16831683168316833,0.09375,0.0,0.0,0.08558558558558559,0.10602910602910603,0.17647058823529413,0.28605583834644455,0.03636363636363636,0.0,0.0,0.14285714285714285,0.5369922322679231,0.09090909090909091,0.08333333333333333,0.0,0.0,0.09032342887194321,0.125,0.07407407407407407,0.18181818181818182,0.0,0.0,0.11976047904191617,0.0,0.06474820143884892,0.08294930875576037,0.17647058823529413,0.12195121951219512,0.12727272727272726,0.07317073170731707,0.0,0.0,0.10916666666666666,0.0,0.278814489571899,0.3831605701186086,0.07710280373831775,0.05714285714285714,0.03899721448467967,0.09090909090909091,0.14285714285714285,0.13891834570519618,0.125,0.12842712842712842,0.09245742092457421,0.18181818181818182,0.13194444444444445,0.12135922330097088,0.12094727939103468,0.0,0.10043290043290043,0.0,0.0,0.0,0.3567567567567568,0.0,0.0,0.10774410774410774,0.0,0.07,0.13505747126436782,0.0,0.25,0.0,0.045454545454545456,0.0,0.11904761904761904,0.0,0.09726027397260274,0.1044776119402985,0.0,0.07605070046697798,0.14146341463414633,0.11517828968128747,0.09068627450980392,0.06451612903225806,0.0,0.0968063872255489,0.19089301503094608,0.0,0.0,0.20654777748203354,0.14814814814814814,0.04918032786885246,0.0,0.15229736706246774,0.08029197080291971,0.0,0.09302325581395349,0.05555555555555555,0.14285714285714285,0.08200455580865604,0.07246376811594203,0.04884318766066838,0.0,0.25,0.0,0.0,0.1780821917808219,0.0,0.0,0.0,0.0778186274509804,0.0,0.03571428571428571,0.0,0.0,0.0,0.24780869842378064,0.08189812549243738,0.24780869842378064
f1-score,0.0,0.152046783625731,0.0821917808219178,0.07874015748031496,0.0,0.13636363636363638,0.0,0.11138411138411139,0.071055381400209,0.052980132450331126,0.0,0.017094017094017092,0.0,0.10177514792899409,0.10126582278481013,0.0810126582278481,0.11003236245954692,0.0,0.18338727076591155,0.0655737704918033,0.0,0.0,0.09004739336492892,0.11099020674646355,0.10344827586206896,0.3224516409476201,0.03819444444444445,0.0,0.0,0.0425531914893617,0.4808986201391265,0.05128205128205127,0.032786885245901634,0.0,0.0,0.10193634542621857,0.07352941176470588,0.038461538461538464,0.14693877551020407,0.0,0.0,0.1111111111111111,0.0,0.0661764705882353,0.09587217043941412,0.07792207792207792,0.10101010101010101,0.10606060606060606,0.04743083003952569,0.0,0.0,0.12051517939282427,0.0,0.29794721407624636,0.3841848844472205,0.06954689146469968,0.04081632653061225,0.034653465346534656,0.08737864077669903,0.08849557522123894,0.13710099424385142,0.04,0.11959150765923139,0.09844559585492227,0.052631578947368425,0.12228479485116653,0.11876484560570072,0.13253694454456516,0.0,0.11536548980606663,0.0,0.0,0.0,0.25287356321839083,0.0,0.0,0.10070810385523209,0.0,0.05982905982905983,0.12466843501326261,0.0,0.05555555555555555,0.0,0.021505376344086023,0.0,0.1492537313432836,0.0,0.10395314787701318,0.10632911392405064,0.0,0.09087285771223597,0.13425925925925922,0.11472575829011473,0.09610389610389611,0.05128205128205128,0.0,0.07844723008491711,0.1903460436411726,0.0,0.0,0.1686589871767007,0.125,0.058195926285160036,0.0,0.13258426966292136,0.0830188679245283,0.0,0.08121827411167513,0.032786885245901634,0.08938547486033518,0.07142857142857142,0.05208333333333333,0.0609951845906902,0.0,0.08695652173913043,0.0,0.0,0.12682926829268293,0.0,0.0,0.0,0.10552555047777316,0.0,0.022222222222222223,0.0,0.0,0.0,0.24780869842378064,0.06828242228810272,0.24775250750307007
support,27.0,262.0,20.0,42.0,1.0,59.0,0.0,1797.0,1024.0,52.0,0.0,27.0,9.0,460.0,317.0,234.0,151.0,1.0,505.0,64.0,20.0,210.0,222.0,481.0,17.0,12966.0,605.0,0.0,7.0,7.0,7853.0,33.0,12.0,0.0,1.0,7606.0,40.0,27.0,99.0,5.0,19.0,167.0,0.0,139.0,434.0,17.0,82.0,55.0,82.0,15.0,0.0,1200.0,0.0,911.0,40132.0,428.0,35.0,718.0,99.0,35.0,943.0,8.0,3465.0,411.0,11.0,576.0,206.0,10641.0,0.0,1155.0,5.0,8.0,0.0,185.0,2.0,0.0,594.0,0.0,100.0,348.0,2.0,4.0,0.0,22.0,6.0,126.0,0.0,730.0,201.0,0.0,2998.0,205.0,3169.0,408.0,31.0,0.0,1002.0,11310.0,2.0,1.0,7514.0,54.0,610.0,0.0,1937.0,137.0,0.0,86.0,18.0,56.0,439.0,69.0,389.0,0.0,8.0,4.0,0.0,73.0,0.0,1.0,5.0,1632.0,1.0,28.0,2.0,2.0,0.0,0.24780869842378064,131771.0,131771.0
