,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.12439024390243902,0.03225806451612903,0.0196078431372549,0.0,0.004048582995951417,0.0,0.053607214428857713,0.04717948717948718,0.06086956521739131,0.0,0.020833333333333332,0.0,0.012096774193548387,0.06532663316582915,0.03488372093023256,0.04516129032258064,0.0,0.21568627450980393,0.03571428571428571,0.0,0.0,0.0821256038647343,0.053164556962025315,0.0,0.15371157210697325,0.0440251572327044,0.0,0.030303030303030304,0.027777777777777776,0.15851063829787235,0.0,0.0,0.0,0.04,0.06840739905256034,0.08695652173913043,0.0,0.06557377049180328,0.0,0.0,0.053475935828877004,0.0,0.014652014652014652,0.12609970674486803,0.0,0.013513513513513514,0.06741573033707865,0.06806282722513089,0.04,0.0,0.10360884749708964,0.0,0.07441860465116279,0.3564130404521284,0.061933534743202415,0.006172839506172839,0.010980392156862745,0.11428571428571428,0.0005213764337851929,0.06881405563689605,0.0,0.07634285714285714,0.04081632653061224,0.0,0.08304891922639362,0.0875,0.11204592695239038,0.0,0.0945273631840796,0.0,0.0013089005235602095,0.0,0.000594883997620464,0.0,0.0,0.03171953255425709,0.0,0.035398230088495575,0.09523809523809523,0.0,0.0,0.0,0.019230769230769232,0.0,0.09523809523809523,0.0,0.12606232294617564,0.06435643564356436,0.0,0.10904977375565611,0.08823529411764706,0.09897318881916714,0.07407407407407407,0.07894736842105263,0.0,0.0447934845840605,0.1454528067323324,0.0,0.0,0.05603174603174603,0.0,0.06491228070175438,0.0,0.08822401227464519,0.07758620689655173,0.0,0.03414634146341464,0.0,0.0,0.03918722786647315,0.027777777777777776,0.036585365853658534,0.0,0.0,0.0,0.0,0.041176470588235294,0.0,0.0,0.0,0.08201892744479496,0.0,0.015873015873015872,0.0,0.0,0.0,0.1518937372526372,0.03881150784892328,0.1867965636371628
recall,0.0,0.16139240506329114,0.058823529411764705,0.02631578947368421,0.0,0.03076923076923077,0.0,0.05431472081218274,0.04114490161001789,0.109375,0.0,0.05,0.0,0.03103448275862069,0.06860158311345646,0.025139664804469275,0.056910569105691054,0.0,0.025943396226415096,0.03296703296703297,0.0,0.0,0.06093189964157706,0.034482758620689655,0.0,0.08338983050847458,0.043410852713178294,0.0,0.08333333333333333,0.08333333333333333,0.1693181818181818,0.0,0.0,0.0,1.0,0.16292813969106784,0.0975609756097561,0.0,0.0380952380952381,0.0,0.0,0.04926108374384237,0.0,0.0273972602739726,0.07504363001745201,0.0,0.010752688172043012,0.10714285714285714,0.10569105691056911,0.07692307692307693,0.0,0.06534508076358296,0.0,0.06986899563318777,0.27248733557532673,0.0836734693877551,0.03125,0.02064896755162242,0.06504065040650407,0.041666666666666664,0.0361260568793236,0.0,0.08606029373872713,0.05139186295503212,0.0,0.09419354838709677,0.05263157894736842,0.09013456485388964,0.0,0.054636951833213515,0.0,0.14285714285714285,0.0,0.00558659217877095,0.0,0.0,0.06109324758842444,0.0,0.037037037037037035,0.11170212765957446,0.0,0.0,0.0,0.03225806451612903,0.0,0.01834862385321101,0.0,0.08682926829268292,0.05603448275862069,0.0,0.061510974987238384,0.048582995951417005,0.09258271077908217,0.06936416184971098,0.12,0.0,0.08433734939759036,0.11133884781494766,0.0,0.0,0.08873805932629462,0.0,0.0744466800804829,0.0,0.12279765082754938,0.034220532319391636,0.0,0.08333333333333333,0.0,0.0,0.05672268907563025,0.06779661016949153,0.047619047619047616,0.0,0.0,0.0,0.0,0.06796116504854369,0.0,0.0,0.0,0.011834319526627219,0.0,0.043478260869565216,0.0,0.0,0.0,0.1518937372526372,0.04752201970048294,0.1518937372526372
f1-score,0.0,0.14049586776859505,0.041666666666666664,0.02247191011235955,0.0,0.007155635062611807,0.0,0.05395864851235501,0.04395604395604395,0.0782122905027933,0.0,0.029411764705882353,0.0,0.017408123791102518,0.06692406692406692,0.029220779220779224,0.05035971223021582,0.0,0.04631578947368421,0.03428571428571428,0.0,0.0,0.06995884773662552,0.04183266932270917,0.0,0.10812236286919832,0.04371584699453552,0.0,0.04444444444444444,0.041666666666666664,0.1637362637362637,0.0,0.0,0.0,0.07692307692307693,0.09635778686896772,0.09195402298850576,0.0,0.04819277108433735,0.0,0.0,0.05128205128205128,0.0,0.019093078758949878,0.09409190371991247,0.0,0.01197604790419162,0.08275862068965516,0.08280254777070063,0.052631578947368425,0.0,0.08014407924358397,0.0,0.07207207207207207,0.30885031543648445,0.07118055555555557,0.010309278350515464,0.014336917562724014,0.08290155440414508,0.0010298661174047376,0.047379032258064516,0.0,0.08091085271317829,0.04549763033175356,0.0,0.0882708585247884,0.06572769953051642,0.0999029211896567,0.0,0.069248291571754,0.0,0.002594033722438392,0.0,0.0010752688172043013,0.0,0.0,0.041758241758241756,0.0,0.03619909502262444,0.10281517747858017,0.0,0.0,0.0,0.024096385542168676,0.0,0.03076923076923077,0.0,0.10283073367995378,0.05990783410138249,0.0,0.07865535248041775,0.06266318537859009,0.09567135373586987,0.07164179104477611,0.09523809523809523,0.0,0.058510638297872335,0.12612986151422176,0.0,0.0,0.06869040669390933,0.0,0.06935332708528584,0.0,0.10267857142857144,0.047493403693931395,0.0,0.04844290657439447,0.0,0.0,0.0463519313304721,0.03940886699507389,0.04137931034482758,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.020684168655529037,0.0,0.02325581395348837,0.0,0.0,0.0,0.1518937372526372,0.03598994144411363,0.16368380465167087
support,42.0,316.0,17.0,38.0,1.0,65.0,0.0,1970.0,1118.0,64.0,0.0,20.0,3.0,580.0,379.0,358.0,123.0,1.0,848.0,91.0,24.0,324.0,279.0,609.0,22.0,7375.0,645.0,0.0,12.0,12.0,1760.0,66.0,8.0,1.0,1.0,7445.0,41.0,27.0,105.0,5.0,19.0,203.0,0.0,146.0,573.0,36.0,93.0,56.0,123.0,26.0,0.0,1362.0,0.0,458.0,46982.0,490.0,32.0,678.0,123.0,48.0,1301.0,16.0,3881.0,467.0,14.0,775.0,266.0,12559.0,0.0,1391.0,4.0,7.0,0.0,179.0,0.0,0.0,622.0,0.0,108.0,376.0,0.0,4.0,0.0,31.0,3.0,109.0,1.0,1025.0,232.0,0.0,3918.0,247.0,3748.0,519.0,25.0,0.0,913.0,13661.0,1.0,0.0,7956.0,26.0,497.0,0.0,1873.0,263.0,0.0,84.0,19.0,49.0,476.0,59.0,504.0,0.0,1.0,5.0,0.0,103.0,1.0,0.0,4.0,2197.0,5.0,23.0,1.0,0.0,1.0,0.1518937372526372,136793.0,136793.0
