,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.10104529616724739,0.027777777777777776,0.05,0.0,0.005479452054794521,0.0,0.048658764815970056,0.07806691449814127,0.0,0.0,0.061224489795918366,0.0,0.010933557611438183,0.05141388174807198,0.02040816326530612,0.11304347826086956,0.0,0.15730337078651685,0.02564102564102564,0.0,0.0,0.1099476439790576,0.04428044280442804,0.0,0.15625980545967996,0.05723905723905724,0.0,0.0,0.0,0.3344151629235363,0.0,0.03571428571428571,0.0,0.0,0.08002263012320845,0.037037037037037035,0.05263157894736842,0.03773584905660377,0.0,0.0,0.026595744680851064,0.0,0.012244897959183673,0.08490566037735849,0.08333333333333333,0.2,0.1348314606741573,0.029197080291970802,0.02564102564102564,0.0,0.09375,0.0,0.27474150664697194,0.3460273885146998,0.044407894736842105,0.005747126436781609,0.022172949002217297,0.07207207207207207,0.0002050020500205002,0.06333333333333334,0.02702702702702703,0.07896221094190638,0.039603960396039604,0.0,0.07963446475195822,0.06756756756756757,0.11162569766061038,0.0,0.08125,0.0,0.0,0.0,0.0017241379310344827,0.0,0.0,0.029411764705882353,0.0,0.03225806451612903,0.06870229007633588,0.0,0.0,0.0,0.02564102564102564,0.0,0.3611111111111111,0.0,0.09951060358890701,0.09497206703910614,0.0,0.10329113924050633,0.056910569105691054,0.08960213975259111,0.08247422680412371,0.1206896551724138,0.0,0.050443081117927745,0.13734567901234568,0.0,0.0,0.06243850076035424,0.11428571428571428,0.06715063520871144,0.0,0.11229946524064172,0.06,0.0,0.025806451612903226,0.0,0.01639344262295082,0.030744336569579287,0.029411764705882353,0.0199203187250996,0.0,0.043478260869565216,0.0,0.0,0.03669724770642202,0.0,0.0,0.07142857142857142,0.078125,0.0,0.0,0.0,0.0,0.0,0.15430557558188068,0.04585373491617948,0.19013114733523684
recall,0.0,0.11068702290076336,0.05,0.07142857142857142,0.0,0.03389830508474576,0.0,0.04340567612687813,0.0615234375,0.0,0.0,0.1111111111111111,0.0,0.02826086956521739,0.06309148264984227,0.01282051282051282,0.08609271523178808,0.0,0.027722772277227723,0.03125,0.0,0.0,0.0945945945945946,0.02494802494802495,0.0,0.03840814437760296,0.05619834710743802,0.0,0.0,0.0,0.3280275054119445,0.0,0.08333333333333333,0.0,0.0,0.1673678674730476,0.05,0.037037037037037035,0.020202020202020204,0.0,0.0,0.029940119760479042,0.0,0.02158273381294964,0.06221198156682028,0.058823529411764705,0.13414634146341464,0.21818181818181817,0.04878048780487805,0.06666666666666667,0.0,0.055,0.0,0.20417124039517015,0.27010864148310576,0.0630841121495327,0.02857142857142857,0.04178272980501393,0.08080808080808081,0.05714285714285714,0.04029692470837752,0.125,0.08080808080808081,0.04866180048661801,0.0,0.10590277777777778,0.04854368932038835,0.08833756225918617,0.0,0.045021645021645025,0.0,0.0,0.0,0.016216216216216217,0.0,0.0,0.050505050505050504,0.0,0.04,0.07758620689655173,0.0,0.0,0.0,0.045454545454545456,0.0,0.10317460317460317,0.0,0.08356164383561644,0.0845771144278607,0.0,0.06804536357571714,0.03414634146341464,0.08456926475228779,0.0784313725490196,0.22580645161290322,0.0,0.07385229540918163,0.11016799292661361,0.0,0.0,0.09289326590364652,0.07407407407407407,0.060655737704918035,0.0,0.11925658234383067,0.06569343065693431,0.0,0.046511627906976744,0.0,0.017857142857142856,0.04328018223234624,0.057971014492753624,0.02570694087403599,0.0,0.125,0.0,0.0,0.0547945205479452,0.0,0.0,0.4,0.015318627450980392,0.0,0.0,0.0,0.0,0.0,0.15430557558188068,0.047481041027030886,0.15430557558188068
f1-score,0.0,0.10564663023679416,0.03571428571428571,0.058823529411764705,0.0,0.009433962264150945,0.0,0.04588235294117647,0.06881485527034407,0.0,0.0,0.07894736842105263,0.0,0.015767131594906003,0.05665722379603399,0.015748031496062992,0.09774436090225563,0.0,0.04713804713804714,0.028169014084507043,0.0,0.0,0.1016949152542373,0.031914893617021274,0.0,0.061660372686188326,0.0567139282735613,0.0,0.0,0.0,0.3311905374132168,0.0,0.05,0.0,0.0,0.10827592072807689,0.0425531914893617,0.043478260869565216,0.026315789473684213,0.0,0.0,0.028169014084507043,0.0,0.015625,0.07180851063829788,0.06896551724137931,0.16058394160583941,0.16666666666666669,0.0365296803652968,0.037037037037037035,0.0,0.06932773109243698,0.0,0.23425692695214106,0.3033907555381407,0.05212355212355212,0.009569377990430622,0.028971511347175277,0.0761904761904762,0.0004085384536819528,0.04925469863901491,0.044444444444444446,0.07987448295535587,0.043668122270742356,0.0,0.0909090909090909,0.05649717514124293,0.09862553771902215,0.0,0.057938718662952644,0.0,0.0,0.0,0.003116883116883117,0.0,0.0,0.03717472118959108,0.0,0.03571428571428571,0.07287449392712551,0.0,0.0,0.0,0.032786885245901634,0.0,0.16049382716049382,0.0,0.09084139985107967,0.08947368421052632,0.0,0.08204303237482403,0.04268292682926829,0.08701298701298703,0.08040201005025126,0.15730337078651688,0.0,0.059943296881328476,0.12226474340104013,0.0,0.0,0.07468036163269673,0.0898876404494382,0.06373815676141258,0.0,0.1156735102653981,0.0627177700348432,0.0,0.03319502074688797,0.0,0.017094017094017096,0.03595080416272469,0.03902439024390244,0.02244668911335578,0.0,0.06451612903225806,0.0,0.0,0.04395604395604396,0.0,0.0,0.12121212121212122,0.025614754098360653,0.0,0.0,0.0,0.0,0.0,0.15430557558188068,0.04222800840709279,0.165064831123327
support,27.0,262.0,20.0,42.0,1.0,59.0,0.0,1797.0,1024.0,52.0,0.0,27.0,9.0,460.0,317.0,234.0,151.0,1.0,505.0,64.0,20.0,210.0,222.0,481.0,17.0,12966.0,605.0,0.0,7.0,7.0,7853.0,33.0,12.0,0.0,1.0,7606.0,40.0,27.0,99.0,5.0,19.0,167.0,0.0,139.0,434.0,17.0,82.0,55.0,82.0,15.0,0.0,1200.0,0.0,911.0,40132.0,428.0,35.0,718.0,99.0,35.0,943.0,8.0,3465.0,411.0,11.0,576.0,206.0,10641.0,0.0,1155.0,5.0,8.0,0.0,185.0,2.0,0.0,594.0,0.0,100.0,348.0,2.0,4.0,0.0,22.0,6.0,126.0,0.0,730.0,201.0,0.0,2998.0,205.0,3169.0,408.0,31.0,0.0,1002.0,11310.0,2.0,1.0,7514.0,54.0,610.0,0.0,1937.0,137.0,0.0,86.0,18.0,56.0,439.0,69.0,389.0,0.0,8.0,4.0,0.0,73.0,0.0,1.0,5.0,1632.0,1.0,28.0,2.0,2.0,0.0,0.15430557558188068,131771.0,131771.0
