,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEALED,SEMI,SHORT,STATIC,STRICTFP,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,TEXT_BLOCK,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.11320754716981132,0.29850746268656714,0.0,0.3333333333333333,0.0,1.0,0.05263157894736842,0.5614754098360656,0.5379310344827586,0.1794871794871795,0.0,0.13636363636363635,0.047619047619047616,0.4,0.4457831325301205,0.05555555555555555,0.425,0.0,0.8333333333333334,0.4166666666666667,0.05555555555555555,0.20522388059701493,0.47804878048780486,0.3380952380952381,0.0,0.5817273376159886,0.313953488372093,0.03225806451612903,0.034482758620689655,0.4779644104440379,0.0,0.13636363636363635,0.0,0.0,0.5750636132315522,0.05263157894736842,1.0,0.6666666666666666,0.03333333333333333,0.0,0.42,0.0,0.5555555555555556,0.3984375,0.6666666666666666,0.20833333333333334,0.11320754716981132,0.22916666666666666,0.038461538461538464,0.4462025316455696,0.0,0.14240170031880978,0.5500368595650571,0.4186046511627907,0.8,0.944,0.2631578947368421,0.13333333333333333,0.5660377358490566,0.02857142857142857,0.5601092896174863,0.32323232323232326,0.10344827586206896,0.21796276013143484,0.3333333333333333,0.5058639562157936,0.1,0.40825688073394495,0.0,0.10204081632653061,0.0,0.3333333333333333,0.0,0.0,0.5319148936170213,0.0,0.1388888888888889,0.34782608695652173,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08695652173913043,0.9285714285714286,0.0,0.31066176470588236,0.28735632183908044,0.0,0.26329442282749677,0.3181818181818182,0.498220640569395,0.3983050847457627,0.20454545454545456,0.0,0.4666666666666667,0.42436393805309736,0.0,0.0,0.5591861898890259,0.05263157894736842,0.3170731707317073,0.0,0.4520255863539446,0.17391304347826086,0.0,0.22388059701492538,0.17857142857142858,0.1927710843373494,0.0,0.34065934065934067,0.21428571428571427,0.4117647058823529,0.058823529411764705,0.07317073170731707,0.0,0.0,0.375,0.0,0.0,0.0,0.24891398783666377,0.0,0.13333333333333333,0.0,0.0,0.0,0.4603725521413788,0.23960140577007458,0.5034351068283076
recall,0.17647058823529413,0.24390243902439024,0.0,0.1,0.0,0.06896551724137931,1.0,0.20478325859491778,0.13660245183887915,0.4375,0.0,0.23076923076923078,0.5,0.09302325581395349,0.4805194805194805,0.005813953488372093,0.3695652173913043,0.0,0.007429420505200594,0.19230769230769232,0.25,0.8333333333333334,0.6490066225165563,0.19346049046321526,0.0,0.08306155727680391,0.23478260869565218,0.3333333333333333,0.5,0.9629753727592562,0.0,0.3333333333333333,0.0,0.0,0.39389978213507626,0.07142857142857142,0.3,0.07547169811320754,1.0,0.0,0.3559322033898305,0.0,0.1652892561983471,0.3469387755102041,0.10526315789473684,0.15625,0.5454545454545454,0.5,0.2,0.2482394366197183,0.0,0.7127659574468085,0.6964994165694283,0.35064935064935066,0.6666666666666666,0.8740740740740741,0.7575757575757576,0.3333333333333333,0.18404907975460122,0.3333333333333333,0.17446808510638298,0.25,1.0,0.4461883408071749,0.10091743119266056,0.15842311459353575,0.5,0.30427350427350425,0.0,0.8333333333333334,0.0,0.3333333333333333,0.0,0.0,0.36764705882352944,0.0,0.1388888888888889,0.5413533834586466,0.0,0.6,0.0,0.5,0.6666666666666666,0.8125,0.0,0.4592391304347826,0.4098360655737705,0.0,0.39341085271317827,0.23648648648648649,0.41055718475073316,0.3051948051948052,0.8181818181818182,0.0,0.1975806451612903,0.5880436865299866,0.0,0.0,0.28334895345204625,0.14285714285714285,0.4223826714801444,0.0,0.6226138032305433,0.4,0.0,0.46875,0.5555555555555556,0.37209302325581395,0.0,0.37349397590361444,0.4,0.08823529411764706,1.0,0.42857142857142855,0.0,0.0,0.25,0.0,0.0,0.0,0.4991289198606272,0.0,0.5714285714285714,0.0,0.0,0.0,0.4603725521413788,0.28903997387941904,0.4603725521413788
f1-score,0.13793103448275862,0.2684563758389261,0.0,0.15384615384615383,0.0,0.12903225806451613,0.1,0.30010952902519167,0.21787709497206703,0.2545454545454545,0.0,0.1714285714285714,0.08695652173913042,0.1509433962264151,0.46249999999999997,0.010526315789473684,0.3953488372093023,0.0,0.014727540500736377,0.2631578947368421,0.0909090909090909,0.3293413173652695,0.5505617977528089,0.24610051993067592,0.0,0.1453669847498439,0.2686567164179105,0.0588235294117647,0.06451612903225806,0.6388441233676022,0.0,0.1935483870967742,0.0,0.0,0.46754590121541245,0.06060606060606061,0.4615384615384615,0.13559322033898305,0.06451612903225806,0.0,0.3853211009174312,0.0,0.25477707006369427,0.3709090909090909,0.18181818181818182,0.17857142857142858,0.1875,0.3142857142857143,0.06451612903225806,0.3190045248868778,0.0,0.23737821080602303,0.614663783338482,0.38162544169611307,0.7272727272727272,0.9076923076923077,0.390625,0.19047619047619044,0.2777777777777778,0.05263157894736842,0.2660609993510707,0.2819383259911894,0.1875,0.29286239882266374,0.15492957746478872,0.24128286406861835,0.16666666666666669,0.3486777668952008,0.0,0.18181818181818182,0.0,0.3333333333333333,0.0,0.0,0.4347826086956522,0.0,0.1388888888888889,0.4235294117647058,0.0,0.14634146341463414,0.0,0.25,0.15384615384615383,0.8666666666666666,0.0,0.37061403508771934,0.33783783783783783,0.0,0.31546231546231546,0.2713178294573644,0.4501607717041801,0.34558823529411764,0.3272727272727273,0.0,0.2776203966005666,0.4929724520118866,0.0,0.0,0.3761144515861497,0.07692307692307693,0.3622291021671826,0.0,0.5237801111797405,0.24242424242424243,0.0,0.30303030303030304,0.2702702702702703,0.253968253968254,0.0,0.3563218390804598,0.27906976744186046,0.1453287197231834,0.1111111111111111,0.125,0.0,0.0,0.3,0.0,0.0,0.0,0.33217391304347826,0.0,0.21621621621621623,0.0,0.0,0.0,0.4603725521413788,0.2004971023194051,0.4184387396226192
support,34.0,82.0,2.0,10.0,0.0,29.0,1.0,669.0,571.0,16.0,0.0,13.0,2.0,258.0,154.0,344.0,46.0,2.0,673.0,26.0,4.0,66.0,151.0,367.0,8.0,9812.0,115.0,3.0,2.0,5969.0,43.0,9.0,0.0,0.0,2295.0,14.0,10.0,53.0,1.0,5.0,59.0,0.0,121.0,147.0,19.0,32.0,11.0,22.0,5.0,568.0,0.0,188.0,17140.0,154.0,6.0,135.0,33.0,12.0,326.0,3.0,1175.0,128.0,3.0,446.0,109.0,4084.0,2.0,585.0,1.0,6.0,0.0,45.0,0.0,0.0,204.0,0.0,36.0,133.0,0.0,5.0,0.0,6.0,3.0,16.0,0.0,368.0,122.0,0.0,1548.0,148.0,1364.0,154.0,11.0,0.0,248.0,5219.0,0.0,0.0,3201.0,7.0,277.0,0.0,681.0,20.0,1.0,32.0,9.0,43.0,0.0,83.0,15.0,238.0,1.0,7.0,0.0,0.0,24.0,0.0,0.0,7.0,1148.0,0.0,7.0,0.0,0.0,0.0,0.4603725521413788,62810.0,62810.0
