,ABSTRACT,ADD,ADD_ASSIGN,AND,AND_ASSIGN,ARROW,ASSERT,ASSIGN,AT,BANG,BINARY_LITERAL,BITAND,BITOR,BOOLEAN,BOOL_LITERAL,BREAK,BYTE,CARET,CASE,CATCH,CHAR,CHAR_LITERAL,CLASS,COLON,COLONCOLON,COMMA,COMMENT,CONST,CONTINUE,DEC,DECIMAL_LITERAL,DEFAULT,DIV,DIV_ASSIGN,DO,DOT,DOUBLE,ELLIPSIS,ELSE,ENUM,EOS,EQUAL,EXPORTS,EXTENDS,FINAL,FINALLY,FLOAT,FLOAT_LITERAL,FOR,GE,GOTO,GT,HEX_FLOAT_LITERAL,HEX_LITERAL,IDENTIFIER,IF,IMPLEMENTS,IMPORT,INC,INSTANCEOF,INT,INTERFACE,LBRACE,LBRACK,LE,LINE_COMMENT,LONG,LPAREN,LSHIFT_ASSIGN,LT,MOD,MODULE,MOD_ASSIGN,MUL,MUL_ASSIGN,NATIVE,NEW,NON_SEALED,NOTEQUAL,NULL_LITERAL,OCT_LITERAL,OPEN,OPENS,OR,OR_ASSIGN,PACKAGE,PERMITS,PRIVATE,PROTECTED,PROVIDES,PUBLIC,QUESTION,RBRACE,RBRACK,RECORD,REQUIRES,RETURN,RPAREN,RSHIFT_ASSIGN,SEMI,SHORT,STATIC,STRING_LITERAL,SUB,SUB_ASSIGN,SUPER,SWITCH,SYNCHRONIZED,THIS,THROW,THROWS,TILDE,TO,TRANSIENT,TRANSITIVE,TRY,URSHIFT_ASSIGN,USES,VAR,VOID,VOLATILE,WHILE,WITH,XOR_ASSIGN,YIELD,accuracy,macro avg,weighted avg
precision,0.0,0.15853658536585366,0.0,0.04918032786885246,0.0,0.11650485436893204,0.0,0.1108058608058608,0.10714285714285714,0.05,0.0,0.0,0.0,0.19047619047619047,0.1450381679389313,0.22727272727272727,0.2,0.038461538461538464,0.1379800853485064,0.25,0.03125,0.0,0.18181818181818182,0.1779816513761468,0.0,0.41595092024539876,0.03278688524590164,0.0,0.045454545454545456,0.0,0.4531933508311461,0.2222222222222222,0.0,0.0,0.0,0.12780269058295965,0.11627906976744186,0.19230769230769232,0.21359223300970873,0.0,0.0,0.03488372093023256,0.0,0.04285714285714286,0.10752688172043011,0.17391304347826086,0.14084507042253522,0.0,0.044444444444444446,0.0625,0.0,0.14695340501792115,0.0,0.09722222222222222,0.39678065425413545,0.12796208530805686,0.0,0.0125,0.06060606060606061,0.0,0.11859443631039532,0.0,0.1439084219133279,0.08441558441558442,0.0,0.27314814814814814,0.15079365079365079,0.1655237644833294,0.0,0.14414414414414414,0.0,0.0,0.0,0.13861386138613863,0.0,0.0,0.10218978102189781,0.0,0.13793103448275862,0.1111111111111111,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.07692307692307693,0.11764705882352941,0.0,0.24181818181818182,0.11515151515151516,0.1713747645951036,0.11016949152542373,0.0,0.0,0.0891566265060241,0.24291860882036573,0.0,0.20477083891718037,0.06896551724137931,0.07079646017699115,0.13710879284649777,0.06818181818181818,0.05555555555555555,0.0625,0.2,0.1794871794871795,0.125,0.06521739130434782,0.14336917562724014,0.0,0.17647058823529413,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.21189894050529748,0.0,0.125,0.0,0.0,0.0,0.28641935997452633,0.08327299346994538,0.29910688175965666
recall,0.0,0.15853658536585366,0.0,0.3,0.0,0.41379310344827586,0.0,0.18086696562032886,0.04203152364273205,0.125,0.0,0.0,0.0,0.29457364341085274,0.12337662337662338,0.0436046511627907,0.3695652173913043,0.5,0.28826151560178304,0.34615384615384615,0.25,0.0,0.15894039735099338,0.26430517711171664,0.0,0.41459437423562984,0.034782608695652174,0.0,0.3333333333333333,0.0,0.5206902328698274,0.5116279069767442,0.0,0.0,0.0,0.09934640522875816,0.35714285714285715,0.5,0.41509433962264153,0.0,0.0,0.05084745762711865,0.0,0.049586776859504134,0.1360544217687075,0.42105263157894735,0.3125,0.0,0.09090909090909091,0.2,0.0,0.1443661971830986,0.0,0.14893617021276595,0.31207701283547257,0.17532467532467533,0.0,0.014814814814814815,0.06060606060606061,0.0,0.24846625766871167,0.0,0.2995744680851064,0.1015625,0.0,0.13228699551569506,0.1743119266055046,0.1714005876591577,0.0,0.1641025641025641,0.0,0.0,0.0,0.3111111111111111,0.0,0.0,0.13725490196078433,0.0,0.2222222222222222,0.09774436090225563,0.0,0.2,0.0,0.0,0.0,0.1875,0.0,0.04891304347826087,0.08196721311475409,0.0,0.08591731266149871,0.12837837837837837,0.13343108504398826,0.08441558441558442,0.0,0.0,0.14919354838709678,0.2596282812799387,0.0,0.2386754139331459,0.2857142857142857,0.02888086642599278,0.13509544787077826,0.15,1.0,0.09375,0.2222222222222222,0.16279069767441862,0.1566265060240964,0.2,0.16806722689075632,0.0,0.42857142857142855,0.0,0.0,0.125,0.0,0.0,0.0,0.2264808362369338,0.0,0.14285714285714285,0.0,0.0,0.0,0.28641935997452633,0.13077448827581292,0.28641935997452633
f1-score,0.0,0.15853658536585366,0.0,0.08450704225352113,0.0,0.18181818181818182,0.0,0.13742191936399775,0.06037735849056603,0.07142857142857144,0.0,0.0,0.0,0.23135464231354644,0.13333333333333333,0.07317073170731707,0.2595419847328244,0.07142857142857144,0.18662818662818662,0.2903225806451613,0.05555555555555555,0.0,0.16961130742049474,0.21271929824561406,0.0,0.4152715394038383,0.03375527426160338,0.0,0.08,0.0,0.48460279098776016,0.3098591549295775,0.0,0.0,0.0,0.11179210590831085,0.1754385964912281,0.2777777777777778,0.28205128205128205,0.0,0.0,0.041379310344827586,0.0,0.04597701149425288,0.12012012012012013,0.24615384615384617,0.1941747572815534,0.0,0.059701492537313425,0.09523809523809523,0.0,0.14564831261101244,0.0,0.11764705882352942,0.3493680807289115,0.14794520547945206,0.0,0.013559322033898306,0.06060606060606061,0.0,0.16055500495540137,0.0,0.19442143054404862,0.09219858156028368,0.0,0.17824773413897282,0.16170212765957448,0.1684109226512691,0.0,0.15347721822541968,0.0,0.0,0.0,0.19178082191780824,0.0,0.0,0.11715481171548119,0.0,0.1702127659574468,0.104,0.0,0.11764705882352941,0.0,0.0,0.0,0.17647058823529413,0.0,0.05980066445182725,0.09661835748792269,0.0,0.12678741658722592,0.12140575079872205,0.15004122011541632,0.09558823529411764,0.0,0.0,0.11161387631975866,0.25099564693896453,0.0,0.2204270051933064,0.1111111111111111,0.041025641025641026,0.13609467455621305,0.09374999999999999,0.10526315789473684,0.075,0.2105263157894737,0.17073170731707318,0.13903743315508021,0.09836065573770492,0.15473887814313347,0.0,0.25,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21894736842105264,0.0,0.13333333333333333,0.0,0.0,0.0,0.28641935997452633,0.09157399070331168,0.2878395885850788
support,34.0,82.0,2.0,10.0,0.0,29.0,1.0,669.0,571.0,16.0,0.0,13.0,2.0,258.0,154.0,344.0,46.0,2.0,673.0,26.0,4.0,66.0,151.0,367.0,8.0,9812.0,115.0,0.0,3.0,2.0,5969.0,43.0,9.0,0.0,0.0,2295.0,14.0,10.0,53.0,1.0,5.0,59.0,0.0,121.0,147.0,19.0,32.0,11.0,22.0,5.0,0.0,568.0,0.0,188.0,17140.0,154.0,6.0,135.0,33.0,12.0,326.0,3.0,1175.0,128.0,3.0,446.0,109.0,4084.0,2.0,585.0,1.0,6.0,0.0,45.0,0.0,0.0,204.0,0.0,36.0,133.0,0.0,5.0,0.0,6.0,3.0,16.0,0.0,368.0,122.0,0.0,1548.0,148.0,1364.0,154.0,11.0,0.0,248.0,5219.0,0.0,3201.0,7.0,277.0,681.0,20.0,1.0,32.0,9.0,43.0,83.0,15.0,238.0,1.0,7.0,0.0,0.0,24.0,0.0,0.0,7.0,1148.0,0.0,7.0,0.0,0.0,0.0,0.28641935997452633,62810.0,62810.0
